step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
324;15;26;12;1;4;120489;100;4.26
325;15;26;12;2;4;243331;42;4.26
326;15;26;12;3;4;338612;8;4.26
327;15;26;12;4;4;411395;-8;4.26
328;15;26;12;4.1;4;356808;0;4.26
329;16;16;3;0;4;48236;267;3.82
330;16;16;3;1;4;118738;233;3.82
331;16;16;3;4;4;442150;0;3.82
332;16;17;1;0;4;48236;800;3.82
333;16;17;1;1;4;120846;500;3.82
334;16;17;1;4;4;484777;0;3.82
335;16;18;0;0;0;48236;0;3.82
336;16;19;0;0;0;48236;0;3.82
337;16;20;0;0;0;48236;0;3.82
338;16;21;0;0;0;48236;0;3.82
339;16;22;1;0;4;48236;1000;3.82
340;16;22;1;1;4;122741;700;3.82
341;16;22;1;2;4;243293;500;3.82
342;16;26;1;0;4;48236;600;3.82
343;16;26;1;1;4;122230;500;3.82
344;16;26;1;3;4;361538;300;3.82
345;16;26;1;4;4;483011;-100;3.82
346;16;26;1;4.1;4;391907;0;3.82
347;16;27;15;0;4;48236;67;3.82
348;16;27;15;1;4;121613;47;3.82
349;16;27;15;3;4;301325;20;3.82
350;16;27;15;4;4;384436;-20;3.82
351;16;27;15;4.1;4;322103;7;3.82
352;16;27;15;4.2;4;342881;0;3.82
353;17;17;2;4;4;458551;0;4.75
354;17;18;0;0;0;48236;0;4.75
355;17;19;0;0;0;48236;0;4.75
356;17;20;0;0;0;48236;0;4.75
357;17;21;0;0;0;48236;0;4.75
358;17;22;0;0;0;48236;0;4.75
359;17;23;0;0;0;48236;0;4.75
360;17;25;0;0;0;48236;0;4.75
361;17;26;0;0;0;48236;0;4.75
362;17;27;0;0;0;48236;300;4.75
363;17;27;3;1;4;119447;200;4.75
364;17;27;3;2;4;239115;167;4.75
365;17;27;3;3;4;358205;67;4.75
366;17;27;3;4;4;480310;-67;4.75
367;17;27;3;4.1;4;388732;67;4.75
368;17;27;3;4.2;4;419258;0;4.75
369;17;28;15;0;4;48236;80;4.75
370;17;28;15;1;4;122105;67;4.75
371;17;28;15;2;4;244354;60;4.75
372;17;28;15;3;4;365952;13;4.75
373;17;28;15;4;4;435991;-7;4.75
374;17;28;15;4.1;4;383462;13;4.75
375;17;28;15;4.2;5;400971;7;4.75
376;17;28;15;4.3;6;418481;0;4.75
377;18;18;2;3.1;3;271733;0;4.57
378;18;19;0;0;0;48236;0;4.57
379;18;20;0;0;0;48236;0;4.57
380;18;21;0;0;0;48236;0;4.57
381;18;22;0;0;0;48236;0;4.57
382;18;23;0;0;0;48236;0;4.57
383;18;24;0;0;0;48236;0;4.57
384;18;25;0;0;0;48236;0;4.57
385;18;26;0;0;0;48236;0;4.57
386;18;27;1;0;4;48236;1200;4.57
387;18;27;1;1;4;120368;1000;4.57
388;18;27;1;2;4;238686;500;4.57
389;18;27;1;3;4;357684;200;4.57
390;18;27;1;4;4;476282;-100;4.57
391;18;27;1;4.1;4;387334;0;4.57
392;18;28;1;0;4;48236;1100;4.57
393;18;28;1;1;4;122992;700;4.57
394;18;28;1;2;4;244643;500;4.57
395;18;28;1;3;4;362986;100;4.57
396;18;28;1;4;4;481255;-100;4.57
397;18;28;1;4.1;4;392553;100;4.57
398;18;28;1;4.2;4;422120;0;4.57
399;18;29;14;0;4;48236;114;4.57
400;18;29;14;1;4;118743;93;4.57
401;18;29;14;2;4;237360;71;4.57
