Date;close;open;high;low;
24.08.2020;7,38;7,38;7,5;7,5;
21.08.2020;7,38;7,38;7,38;7,38;
20.08.2020;7,38;7,38;7,5;7,5;
19.08.2020;7,38;7,38;7,5;7,5;
18.08.2020;7,38;7,38;7,38;7,38;
17.08.2020;7,38;7,38;7,5;7,5;
14.08.2020;7,38;7,38;7,5;7,38;
13.08.2020;7,38;7,38;7,45;7,45;
12.08.2020;7,38;8;8,15;7;
11.08.2020;8;8;7,65;7,65;
10.08.2020;8;8;8,18;8,18;
07.08.2020;8;8;8,18;7,65;
06.08.2020;8;8;7,65;7,65;
05.08.2020;8;8;8,24;8,24;
04.08.2020;8;9,13;9,05;8;
03.08.2020;9,13;7,38;9,9;7,49;
31.07.2020;7,38;7,38;7,5;7,5;
30.07.2020;7,38;7,38;7,5;7,5;
29.07.2020;7,38;7,38;7,38;7,38;
28.07.2020;7,38;7,38;7,38;7,38;
27.07.2020;7,5;7,75;7,3;7,3;
24.07.2020;7,75;7,75;7,75;7,75;
23.07.2020;7,75;8,25;8;7,5;
22.07.2020;8,25;8,25;8,25;8,25;
21.07.2020;8,25;8,25;8,25;8,25;
20.07.2020;8,25;8,25;8,25;8,25;
17.07.2020;8,25;8,25;8,01;8,01;
16.07.2020;8,25;8,25;8,3;8,15;
15.07.2020;8,25;8,25;8,25;8,25;
14.07.2020;8,25;8,25;8,25;8,25;
13.07.2020;8,25;8,25;8,25;8,25;
10.07.2020;8,25;8,25;8,1;8,1;
09.07.2020;8,25;8,25;8,39;8,05;
08.07.2020;8,25;8,25;8,25;8,25;
07.07.2020;8,25;8,25;8,17;8;
06.07.2020;8,25;8,25;8,24;8;
03.07.2020;8,25;8,25;8,25;8,25;
02.07.2020;8,25;8,25;8,25;8,25;
01.07.2020;8,25;8,25;8,25;8,25;
30.06.2020;8,25;8,25;8,5;8,5;
29.06.2020;8,25;8,25;8,48;7,65;
26.06.2020;8,25;8,25;8,5;8,05;
25.06.2020;8,25;8,38;8,26;8,05;
24.06.2020;8,38;8,13;8,5;7,94;
23.06.2020;8,13;7,38;8,2;7,38;
22.06.2020;7,38;7,38;7,5;7,25;
