Date,close,open,high,low
43371,82.72,81.63,82.87,81.6
43374,84.98,82.79,85.45,82.55
43375,84.8,84.95,85.38,84.31
43376,86.29,84.79,86.74,84.01
43377,84.58,85.99,86.43,84.14
43378,84.16,84.89,85.12,83.92
43381,83.91,84.17,84.31,82.66
43382,85,83.91,85.45,83.73
43383,83.09,84.98,85.17,82.26
43384,80.26,82.47,82.63,79.8
43385,80.43,80.28,81.48,79.23
43388,80.78,81,81.92,79.85
43389,81.41,80.88,81.75,79.8
43390,80.05,81.74,81.85,79.17
43391,79.29,80.23,80.31,78.69
43392,79.78,79.44,80.88,79.22
43395,79.83,80.11,80.41,78.99
43396,76.44,80.04,80.12,75.88
43397,76.17,76.35,77.57,75.11
43398,76.89,75.67,77.08,75.35
43399,77.62,76.6,77.91,75.77
43402,77.34,77.64,78.03,76.55
43403,75.91,76.82,77.32,75.09
43404,75.47,76.28,76.92,75.42
43405,72.89,74.69,74.99,72.56
43406,72.83,72.75,73.5,72.16
43409,73.17,72.85,74.13,72.26
43410,72.13,72.85,73.28,71.18
43411,72.07,71.66,73.55,71.36
43412,70.65,72.1,73.08,70.56
43413,70.18,70.87,70.99,69.13
43416,70.12,70.69,71.88,68.87
43417,65.47,69.13,69.68,64.61
43418,66.12,65.62,67.63,65.02
43419,66.62,66.12,67.42,65.77
43420,66.76,66.68,68.38,66.06
43423,66.79,66.99,67.64,65.27
43424,62.53,66.9,66.9,61.71
43425,63.48,62.6,64.48,62.56
43426,62.6,63.6,63.81,62.27
43427,58.8,62.58,62.79,58.41
43430,60.48,58.98,61.13,58.6
43431,60.21,60.39,61.4,58.92
43432,58.76,60.63,61.27,58.55
43433,59.51,59.12,60.37,57.5
43434,58.71,59.28,59.93,58.25
43437,61.69,59.98,62.6,59.85
43438,62.08,61.9,63.58,61.24
43439,61.56,61.35,63.29,60.8
43440,60.06,61.36,61.97,58.36
43441,61.67,60.25,63.73,59.1
43444,59.97,61.34,62.33,59.61
43445,60.2,59.91,61.1,59.58
43446,60.15,60.67,61.43,59.98
43447,61.45,60.29,62.02,59.33
43448,60.28,61.53,61.58,59.92
43451,59.61,60.25,61.21,58.64
43452,56.26,59,59.24,55.89
43453,57.24,56.51,58.11,56.04
43454,54.35,56.49,56.75,54.28
43455,53.82,54.97,55.33,52.79
43458,50.47,53.49,54.66,50.36
43460,54.47,50.84,55.29,49.93
43461,52.16,54.65,54.67,51.94
43462,52.2,53.44,53.8,51.6
43465,53.8,53,54.82,52.66
43467,54.91,54.12,56.56,52.51
43468,55.95,54.29,56.3,53.93
43469,57.06,55.67,58.31,55.34
43472,57.33,57.41,58.93,57.26
43473,58.72,57.64,58.87,57.13
43474,61.44,59.15,61.69,59.05
43475,61.68,61.15,61.91,60.44
43476,60.48,61.19,62.49,60.08
43479,58.99,60.62,61.04,58.9
43480,60.64,59.36,60.86,59.11
43481,61.32,60.42,61.45,60.03
43482,61.18,61.05,61.54,60.04
43483,62.7,61.33,63,61.32
43486,62.74,62.74,63.15,62.25
43487,61.5,62.59,62.71,60.57
43488,61.14,61.37,62.33,60.21
43489,61.09,61.02,61.51,60.41
43490,61.64,61.13,61.92,60.7
43493,59.93,61.49,61.69,59.49
43494,61.32,59.87,61.79,59.75
43495,61.65,61.26,62.67,61.04
43496,61.89,61.97,62.32,61.57
43497,62.75,61.06,62.97,60.46
43500,62.51,62.83,63.63,61.28
43501,61.98,62.64,63.02,61.72
43502,62.69,62.06,62.8,61.05
43503,61.63,62.5,62.91,60.6
43504,62.1,61.66,62.36,61.04
43507,61.51,62.11,62.34,60.9
43508,62.42,61.59,63.34,61.59
43509,63.61,62.7,63.98,62.69
43510,64.57,63.69,64.81,63.25
43511,66.25,64.86,66.39,64.42
43514,66.5,66.39,66.83,65.9
43515,66.45,66.44,66.65,65.58
43516,67.08,66.3,67.38,65.63
43517,67.07,67.05,67.31,66.69
43518,67.12,66.96,67.73,66.87
43521,64.76,66.97,67.47,64.54
43522,65.21,64.79,65.74,64.32
43523,66.39,65.64,66.7,65.27
43524,66.03,66.38,66.38,65.67
43525,65.07,66.48,67.14,64.59
43528,65.67,64.97,66.34,64.93
43529,65.86,65.46,66.23,65.04
43530,65.99,65.49,66.18,65.22
43531,66.3,65.88,67,65.75
43532,65.74,66.08,66.09,64.02
43535,66.58,65.76,66.75,65.63
43536,66.67,66.7,67.39,66.34
43537,67.55,66.91,67.76,66.7
43538,67.23,67.65,68.14,67.03
43539,67.16,67.18,67.71,66.13
43542,67.54,67.14,67.69,66.69
43543,67.61,67.49,68.2,67.13
43544,68.5,67.66,68.57,67.19
43545,67.86,68.38,68.69,67.59
43546,67.03,67.76,67.98,66.2
43549,67.21,67,67.65,66.36
43550,67.97,67.36,68.23,67.24
43551,67.83,67.9,68.35,67.19
43552,67.82,67.75,68,66.54
43553,68.39,68.01,68.89,67.81
43556,69.01,67.58,69.22,67.58
43557,69.37,69.22,69.58,68.69
43558,69.31,69.47,69.96,68.8
43559,69.4,69.44,70.03,68.87
43560,70.34,69.13,70.48,68.92
43563,71.1,70.56,71.19,70.43
