Price Date;excess %
21/09/2021;3,59
22/09/2021;3,61
23/09/2021;3,72
24/09/2021;3,81
25/09/2021;3,81
26/09/2021;3,81
27/09/2021;3,97
28/09/2021;3,87
29/09/2021;3,76
30/09/2021;3,86
01/10/2021;3,82
02/10/2021;3,82
03/10/2021;3,82
04/10/2021;3,91
05/10/2021;4,04
06/10/2021;3,88
07/10/2021;3,87
08/10/2021;3,89
09/10/2021;3,89
10/10/2021;3,89
11/10/2021;3,86
12/10/2021;3,93
13/10/2021;4,01
14/10/2021;4,06
15/10/2021;4,05
16/10/2021;4,05
17/10/2021;4,05
18/10/2021;3,91
19/10/2021;3,91
20/10/2021;3,91
21/10/2021;3,96
22/10/2021;3,94
23/10/2021;3,94
24/10/2021;3,94
25/10/2021;4,12
26/10/2021;4,11
27/10/2021;4,15
28/10/2021;4,07
29/10/2021;3,99
30/10/2021;3,99
31/10/2021;3,99
01/11/2021;3,84
02/11/2021;3,99
03/11/2021;3,99
04/11/2021;4,04
05/11/2021;4,02
06/11/2021;4,02
07/11/2021;4,02
08/11/2021;4,01
09/11/2021;3,92
10/11/2021;3,93
11/11/2021;4,05
12/11/2021;3,96
13/11/2021;4,05
14/11/2021;4,05
15/11/2021;4
16/11/2021;4,02
17/11/2021;3,95
18/11/2021;3,98
19/11/2021;4,03
20/11/2021;4,03
21/11/2021;4,03
22/11/2021;3,97
23/11/2021;4,09
24/11/2021;4,18
25/11/2021;4,18
26/11/2021;4,31
27/11/2021;4,31
28/11/2021;4,31
29/11/2021;4,1
30/11/2021;3,93
01/12/2021;3,79
02/12/2021;3,69
03/12/2021;3,77
04/12/2021;3,77
05/12/2021;3,77
06/12/2021;3,49
07/12/2021;3,55
08/12/2021;3,63
09/12/2021;3,68
10/12/2021;3,77
11/12/2021;3,77
12/12/2021;3,77
13/12/2021;3,69
14/12/2021;3,61
15/12/2021;3,66
16/12/2021;3,62
17/12/2021;3,55
18/12/2021;3,55
19/12/2021;3,55
20/12/2021;3,67
21/12/2021;3,69
22/12/2021;3,7
23/12/2021;3,55
24/12/2021;3,55
25/12/2021;3,55
26/12/2021;3,55
27/12/2021;3,77
28/12/2021;3,75
29/12/2021;3,72
30/12/2021;3,49
31/12/2021;3,49
01/01/2022;3,58
02/01/2022;3,58
03/01/2022;3,71
04/01/2022;3,63
05/01/2022;3,73
06/01/2022;3,7
07/01/2022;3,74
08/01/2022;3,74
09/01/2022;3,74
10/01/2022;3,84
11/01/2022;3,94
12/01/2022;4,18
13/01/2022;4,01
14/01/2022;4,08
15/01/2022;4,08
16/01/2022;4,08
17/01/2022;4,08
18/01/2022;4,06
19/01/2022;3,92
20/01/2022;3,75
21/01/2022;3,83
22/01/2022;3,83
23/01/2022;3,83
24/01/2022;3,93
25/01/2022;3,97
26/01/2022;4,09
27/01/2022;4,28
28/01/2022;4,52
29/01/2022;4,52
30/01/2022;4,52
31/01/2022;4,69
01/02/2022;4,61
02/02/2022;5,07
03/02/2022;4,76
04/02/2022;4,55
05/02/2022;4,55
06/02/2022;4,55
07/02/2022;4,27
08/02/2022;4,29
09/02/2022;4,06
10/02/2022;4,03
11/02/2022;4,02
12/02/2022;4,02
13/02/2022;4,02
14/02/2022;4,24
15/02/2022;4,31
16/02/2022;4,62
17/02/2022;4,5
18/02/2022;4,44
19/02/2022;4,44
20/02/2022;4,44
21/02/2022;4,44
22/02/2022;4,53
23/02/2022;4,65
24/02/2022;4,7
25/02/2022;4,53
26/02/2022;4,53
27/02/2022;4,53
28/02/2022;4,46
01/03/2022;4,64
02/03/2022;4,83
03/03/2022;4,77
04/03/2022;5,07
05/03/2022;5,07
06/03/2022;5,07
07/03/2022;4,9
08/03/2022;4,61
09/03/2022;4,61
10/03/2022;4,72
11/03/2022;4,82
12/03/2022;4,82
13/03/2022;4,82
14/03/2022;4,75
15/03/2022;4,67
16/03/2022;4,83
17/03/2022;5,06
18/03/2022;4,95
19/03/2022;4,95
20/03/2022;4,95
21/03/2022;4,98
22/03/2022;5,27
23/03/2022;5,32
24/03/2022;5,49
25/03/2022;5,65
26/03/2022;5,65
27/03/2022;5,65
28/03/2022;5,58
29/03/2022;5,38
30/03/2022;5,66
31/03/2022;5,7
01/04/2022;5,8
02/04/2022;5,8
03/04/2022;5,8
04/04/2022;5,79
05/04/2022;6,11
06/04/2022;6,11
07/04/2022;6,44
08/04/2022;6,36
09/04/2022;6,36
10/04/2022;6,36
11/04/2022;6,72
12/04/2022;6,76
13/04/2022;7,1
14/04/2022;7,42
15/04/2022;7,42
16/04/2022;7,42
17/04/2022;7,42
18/04/2022;7,96
19/04/2022;7,28
20/04/2022;7,07
21/04/2022;7,1
22/04/2022;6,66
23/04/2022;6,66
24/04/2022;6,66
25/04/2022;6,81
26/04/2022;6,98
27/04/2022;7,34
28/04/2022;6,89
29/04/2022;7,24
30/04/2022;7,24
01/05/2022;7,24
02/05/2022;7,48
03/05/2022;7,95
04/05/2022;8,42
05/05/2022;8,78
06/05/2022;8,04
07/05/2022;8,04
08/05/2022;8,04
09/05/2022;7,03
10/05/2022;7,39
11/05/2022;7,64
12/05/2022;7,74
13/05/2022;7,66
14/05/2022;7,66
15/05/2022;7,66
16/05/2022;7,96
17/05/2022;8,3
18/05/2022;8,37
19/05/2022;8,31
20/05/2022;8,08
21/05/2022;8,08
22/05/2022;8,08
23/05/2022;8,74
24/05/2022;8,8
25/05/2022;8,97
26/05/2022;8,91
27/05/2022;8,91
28/05/2022;8,91
29/05/2022;8,91
30/05/2022;8,91
31/05/2022;8,91
01/06/2022;8,91
