Price Date;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC
Price Date;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024
29/01/2020;10,795;11,77;11,15;10,46;10,96352194;10,82647806;11,44642051;11,34833898;11,72324051;12,97017916;14,74196796;15,06785288;16,32854136;16,36599766;15,56946098;14,39930614;14,38758589;14,12336708;14,19279539;13,95931925;14,33422836;16,53500062;17,78611372;18,73828355;18,01421886;18,05554196;17,17677479;15,05423707;15,04198375;14,76574734;14,83833349;14,59423804;14,98619933;17,28707043;18,59508855;19,5905664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/01/2020;10,55;11,14;10,8;10,485;10,51081331;10,44418669;11,27515313;11,42605586;11,84079101;13,19605814;14,31608073;15,25286112;16,25186065;15,66874028;15,04739907;14,42049847;13,99065887;13,85212529;13,80999084;13,63910495;14,25631857;16,13888667;17,06110754;17,66330881;18,52231171;17,60978307;16,95512922;15,56797263;15,12318118;14,94850051;14,73423842;14,754951;15,21663249;16,42052656;17,68081665;19,22995656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/01/2020;9,46;11,14;10,4;10,498;10,36886341;10,30313659;10,89520182;11,04101941;11,44177877;12,88872098;13,98265816;14,89762086;16,19891961;15,61769878;14,99838161;14,0518363;13,63298561;13,49799366;13,45693638;13,29041922;13,89185368;15,72629365;16,62493781;17,21174371;18,31898085;17,4164696;16,76900229;15,39707337;14,95716468;14,78440159;14,57249159;14,59297679;15,04959011;16,24026829;17,48672341;19,01885745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2020;0;10,3;10,4;10,498;10,36886341;10,30313659;10,89520182;11,04101941;11,44177877;12,88872098;13,98265816;14,89762086;16,19891961;15,61769878;14,99838161;14,0518363;13,63298561;13,49799366;13,45693638;13,29041922;13,89185368;15,72629365;16,62493781;17,21174371;18,31898085;17,4164696;16,76900229;15,39707337;14,95716468;14,78440159;14,57249159;14,59297679;15,04959011;16,24026829;17,48672341;19,01885745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/02/2020;0;10,3;10,4;10,498;10,36886341;10,30313659;10,89520182;11,04101941;11,44177877;12,88872098;13,98265816;14,89762086;16,19891961;15,61769878;14,99838161;14,0518363;13,63298561;13,49799366;13,45693638;13,29041922;13,89185368;15,72629365;16,62493781;17,21174371;18,31898085;17,4164696;16,76900229;15,39707337;14,95716468;14,78440159;14,57249159;14,59297679;15,04959011;16,24026829;17,48672341;19,01885745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/02/2020;0;10,1615;9,85;9,918;9,98;10,162;10,72774905;10,87132551;11,26592544;12,69894954;13,77677976;14,6782707;15,66328087;15,10127888;14,50244025;13,81953742;13,40761099;13,27485067;13,23447213;13,07070776;13,66219956;15,46631336;16,35010153;16,9272066;18,05126189;17,1619402;16,52393517;15,17205602;14,73857628;14,568338;14,35952491;14,37971074;14,82965098;16,00292824;17,23116729;18,74091028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/02/2020;0;9,87;9,79;10,12;10,133;10,197;10,32919187;10,46743418;10,84737394;12,85354383;13,94449533;14,85696083;15,95601367;15,38350836;14,77347797;13,9985744;13,58131132;13,44683104;13,40592938;13,24004339;13,83919817;15,66668491;16,56192286;17,14650454;18,44097937;17,53245768;16,88067845;15,49961293;15,05677458;14,88286094;14,66953969;14,69016131;15,14981553;16,34842325;17,60317935;19,14551692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/02/2020;0;10,239;9,75;10;10,063;10,267;10,67976551;10,82269977;11,21553472;13,22845815;14,3512307;15,29031115;16,33075317;15,74480213;15,1204447;14,52445543;14,09151713;13,95198486;13,90954666;13,73742887;14,35909196;16,25523144;17,18410058;17,79064309;18,983195;18,04796026;17,37701693;15,95534427;15,49948525;15,32045808;15,10086459;15,12209255;15,59526187;16,82911196;18,12076135;19,70844789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/02/2020;0;10,2365;9,62;9,75;9,798;9,972;10,4153664;10,55476204;10,93787156;13,08034385;14,19054512;15,11911103;16,29026885;15,70577039;15,08296076;14,51130038;14,0787542;13,93934831;13,89694855;13,72498664;14,34608668;16,2405088;17,16853664;17,7745298;18,94365844;18,01037153;17,34082558;15,92211386;15,46720427;15,28854995;15,06941382;15,09059756;15,56278141;16,79406174;18,083021;19,66740084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/02/2020;0;9,827;9,69;9,76;9,91;10,06;10,48391431;10,62422738;11,00985831;13,22382958;14,34620928;15,28496115;16,33594347;15,7498062;15,12525033;14,57418792;14,13976722;13,99975719;13,95717368;13,78446654;14,40825824;16,3108902;17,24293983;17,85155918;18,9267142;17,99426208;17,325315;15,90787226;15,45336956;15,27487504;15,05593491;15,07709971;15,54886121;16,77904022;18,06684656;19,64980925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
